date,KRW,THB,INR,PHP,CNH,IDR,MYR,SGD,TWD,BRL,HUF,MXN,EUR,JPY,CAD,CLP
2014-08-08,0.5099999999999998,0.03189999999999982,0.14000000000000057,-5.18,0.9732000000000003,2.88,-0.45550000000000024,-1.0428000000000002,-1.1197,5.125400000000001,1.5531,-1.3120000000000003,-0.2987,-3.3868,-1.0114,-0.5600000000000005
2014-08-15,0.25,-0.33630000000000004,-1.1599999999999993,-4.5,0.9078000000000004,1.13,-0.7007000000000003,-1.0547,-2.8891999999999998,4.7707,1.4692999999999998,-1.2299000000000002,-0.3304,-3.3977,-1.0224000000000002,-1.0900000000000003
2014-08-22,0.33999999999999986,-0.3974000000000002,-1.2999999999999998,-3.7800000000000002,0.5893000000000002,1.42,-0.7914000000000003,-1.0253,-2.2938,4.7951,1.3773,-1.3105000000000002,-0.33520000000000005,-3.4015999999999997,-1.0088000000000001,0.019999999999999574
2014-08-29,0.48,-0.1897000000000002,-0.08999999999999986,-3.0300000000000002,0.28400000000000025,1.6899999999999995,-0.4562000000000004,-1.0339,-2.9365,4.811400000000001,1.1596,-1.2344000000000004,-0.3669,-3.4442999999999997,-1.0267000000000002,-3.0500000000000007
2014-09-05,0.55,0.009500000000000064,-0.8600000000000003,-3.3600000000000003,0.9683999999999999,2.59,0.3488000000000002,-0.7276,-2.8600000000000003,4.3903,0.43849999999999995,-1.4830000000000005,-0.46,-3.3817999999999997,-0.9873000000000001,-0.6099999999999994
2014-09-12,0.54,0.22350000000000003,-0.14000000000000057,-2.91,1.0198,3.92,0.012900000000000134,-0.6369,-1.8827,4.7456,0.7588999999999999,-1.3472000000000004,-0.4325,-3.4114999999999998,-0.9786000000000001,-1.0299999999999998
2014-09-19,0.75,0.2493000000000003,-1.12,-1.6300000000000003,2.0423,5.029999999999999,-0.21789999999999976,-0.7012,-2.4476,4.5846,0.5347999999999999,-1.2388000000000003,-0.4162,-3.6117999999999997,-0.9872000000000001,-0.34999999999999964
2014-09-26,0.40000000000000013,0.058499999999999996,-0.7999999999999998,-3.1,1.0589,2.79,-0.3792,-0.6713,-1.9797,4.7157,0.6811,-1.4472000000000005,-0.371,-3.4446999999999997,-0.9998,-1.2499999999999996
2014-10-03,1.2199999999999998,1.0464000000000002,2.62,-2.8899999999999997,1.4234999999999998,3.6599999999999993,0.7498,-0.38919999999999993,-1.5981999999999998,4.652900000000001,1.5285,-1.5132999999999996,-0.30729999999999996,-3.2213000000000003,-0.8729,-1.4899999999999998
2014-10-10,0.8099999999999998,0.07929999999999993,0.5499999999999998,-3.11,1.3817,4.4799999999999995,-0.23110000000000008,-0.4317,-1.0577999999999999,3.7478999999999996,1.7137,-1.5199999999999996,-0.3247,-3.2163000000000004,-0.8118000000000001,-1.3599999999999999
2014-10-17,0.6399999999999999,0.28259999999999996,1.9299999999999997,-2.84,1.5059999999999998,2.5699999999999994,0.5234000000000001,-0.43309999999999993,-0.06879999999999997,4.4397,1.8221,-1.5781999999999998,-0.3144,-3.2415000000000003,-0.7359,-1.6099999999999999
2014-10-24,0.5399999999999998,0.21229999999999993,-1.73,-2.86,1.6200999999999999,1.3099999999999996,0.27659999999999973,-0.42849999999999994,-1.2677999999999998,4.8408,1.8543,-1.6947999999999999,-0.2754,-3.2467,-0.8291,-1.6
2014-10-31,1.07,0.7616999999999998,0.5099999999999998,-1.5300000000000002,1.6582,-0.8700000000000001,-0.20889999999999986,0.23409999999999997,-0.10550000000000004,4.7517,1.5829,-1.8036999999999996,-0.39680000000000004,-2.9388,-1.2722,-2.48
2014-11-07,0.73,1.3628,2.33,-1.4200000000000004,2.2529,3.0599999999999996,0.7479,0.4138,-0.4135000000000001,5.6091,1.8715000000000002,-1.7586999999999997,-0.42360000000000003,-2.8775999999999997,-1.2872,-2.17
2014-11-14,0.78,2.892,1.62,-1.9500000000000002,1.9505,1.37,0.9980000000000002,0.1572,-0.4081,5.261699999999999,1.9085,-1.6498999999999997,-0.41700000000000004,-2.8949,-1.3105,-2.29
2014-11-21,0.8400000000000001,2.3246,-0.11000000000000032,-2.0,1.3777,-3.59,-0.2123999999999997,0.3169,-0.6468,4.5074000000000005,1.8185000000000002,-1.5738999999999996,-0.4368,-2.9604,-1.2911,-2.41
2014-11-28,0.99,1.8702,0.9399999999999995,-1.6600000000000001,1.9459999999999997,-0.9500000000000002,1.7106000000000003,0.3935,-0.12950000000000006,4.632200000000001,1.5151,-1.7942,-0.3496,-3.3127,-1.3322999999999998,-2.49
2014-12-05,1.0099999999999998,2.5799000000000003,2.3800000000000003,-1.08,2.9276000000000004,-1.12,3.6416000000000004,1.447,-1.1785999999999999,5.655,1.3317999999999999,-1.6233,-0.2766,-2.9577,-0.9561,-2.23
