date,CNH,IDR,INR,MYR,PHP,SGD,THB,TWD,KRW
2013-02-08,1.66055,3.78823,7.34513,,0.191909,0.00969,2.11489,-0.181942,2.04498
2013-02-15,1.45705,3.62685,7.48938,,-0.059091,0.029147,1.97683,-0.181942,2.13535
2013-02-22,1.4628,3.80354,7.78102,,0.118043,0.029081,2.08905,-0.242898,2.17884
2013-03-01,2.0753,4.55644,8.68135,,0.132808,0.019396,2.33384,-0.303523,2.35223
2013-03-08,2.39554,4.87621,8.8967,,0.147592,-0.019261,2.31325,-0.262739,2.39215
2013-03-15,1.9794,4.60792,9.92627,,-0.250881,-0.048009,2.35937,-0.342768,2.45873
2013-03-22,2.21708,4.65376,9.25347,,-0.11744,0.009598,2.34071,-0.541176,2.38417
2013-03-29,1.75397,4.79482,7.97774,,-0.878579,-0.038684,2.29806,-0.819579,2.06861
2013-04-05,1.78527,4.77724,8.17515,,0.2919,-0.019359,2.03477,-0.820631,1.70993
2013-04-12,1.44469,4.54016,7.77357,,-0.072668,-0.029075,2.50946,-0.480079,1.7675
2013-04-19,1.24106,4.21842,7.60369,,0.043836,-0.009714,2.41203,-0.442129,1.67908
2013-04-26,1.51884,4.59969,7.77991,,1.17058,-0.019391,2.24461,-0.46447,1.35735
2013-05-03,1.27437,4.59174,7.47151,,0.957724,0.009725,2.06486,-0.385529,1.76401
2013-05-10,2.35917,4.55964,7.26759,,1.07039,-0.019395,2.13869,-0.344121,1.74963
2013-05-17,2.9302,4.80432,7.31403,,1.31866,0.01911,2.17429,-0.299897,1.84252
2013-05-24,2.50611,4.83008,7.36802,,1.27664,0.028444,2.14578,-0.300493,1.55455
2013-05-31,2.38846,4.49716,7.25813,,1.1128,0.009505,2.04474,-0.380351,1.98292
2013-06-07,2.94278,4.43575,6.78406,,1.07056,-0.077109,2.17437,-0.342687,1.84156
2013-06-14,3.3979,4.90575,6.72851,,0.210459,-0.057507,1.86463,-0.441316,1.82594
2013-06-21,4.91213,4.62348,6.88554,,0.646924,0.0,1.8953,-0.398604,1.73198
2013-06-28,3.91066,3.0649,6.91258,,0.515101,-0.075977,2.09446,-0.279911,1.96129
2013-07-05,2.62354,5.1254,7.32909,,-0.138169,-0.056357,2.02171,-0.398863,1.80052
2013-07-12,2.37989,5.41383,7.00155,,-0.276148,-0.066462,2.11258,-0.400681,1.8293
2013-07-19,2.73181,5.74098,8.60569,,-0.165887,-0.037899,2.22239,-0.440337,1.9971
2013-07-26,2.22311,5.45337,10.6808,,-0.041558,-0.018992,2.18053,-0.440484,2.12637
2013-08-02,2.38513,5.62506,10.337,,0.110122,-0.018803,2.14348,-0.359556,2.15698
2013-08-09,2.15988,5.62366,10.4776,,-0.041291,-0.009531,2.27041,-0.360378,2.17921
2013-08-16,2.1325,5.6275,10.7046,,-0.164748,-0.018911,2.22832,-0.360198,2.28655
