date,US,KRW,THB,IDR_GT,PHP,CNH,IDR_BV,MYR,SGD,TWD
1995-09-15,0.4017400000000002,,,,,,,,,
1995-09-22,0.4050399999999996,,,,,,,,,
1995-09-29,0.3395399999999995,,,,,,,,,
1995-10-06,0.3444700000000003,,,,,,,,,
1995-10-13,0.3088199999999999,,,,,,,,,
1995-10-20,0.32216999999999985,,,,,,,,,
1995-10-27,0.4224800000000002,,,,,,,,,
1995-11-03,0.4610500000000002,,,,,,,,,
1995-11-10,0.4807100000000002,,,,,,,,,
1995-11-17,0.4579399999999998,,,,,,,,,
1995-11-24,0.4266899999999998,,,,,,,,,
1995-12-01,0.3881799999999993,,,,,,,,,
1995-12-08,0.33137999999999934,,,,,,,,,
1995-12-15,0.39224000000000014,,,,,,,,,
1995-12-22,0.41493999999999964,,,,,,,,,
1995-12-29,0.41777,,,,,,,,,
1996-01-05,0.49497000000000035,,,,,,,,,
1996-01-12,0.5752899999999999,,,,,,,,,
1996-01-19,0.49931000000000036,,,,,,,,,
1996-01-26,0.5845700000000003,,,,,,,,,
1996-02-02,0.7598500000000001,,,,,,,,,
1996-02-09,0.7895399999999997,,,,,,,,,
1996-02-16,0.8552999999999997,,,,,,,,,
1996-02-23,0.8318399999999997,,,,,,,,,
1996-03-01,0.7133000000000003,,,,,,,,,
1996-03-08,0.6846500000000004,,,,,,,,,
1996-03-15,0.5823499999999999,,,,,,,,,
1996-03-22,0.5849400000000005,,,,,,,,,
1996-03-29,0.5716600000000005,,,,,,,,,
1996-04-05,0.5204000000000004,,,,,,,,,
1996-04-12,0.5655099999999997,,,,,,,,,
1996-04-19,0.5977699999999997,,,,,,,,,
1996-04-26,0.6007199999999999,,,,,,,,,
1996-05-03,0.7114099999999999,,,,,,,,,
1996-05-10,0.6914999999999996,,,,,,,,,
1996-05-17,0.63211,,,,,,,,,
1996-05-24,0.6461800000000002,,,,,,,,,
1996-05-31,0.6116400000000004,,,,,,,,,
1996-06-07,0.5553299999999997,,,,,,,,,
1996-06-14,0.66174,,,,,,,,,
1996-06-21,0.6491099999999994,,,,,,,,,
1996-06-28,0.6005199999999995,,,,,,,,,
1996-07-05,0.6186299999999996,,,,,,,,,
1996-07-12,0.5689599999999997,,,,,,,,,
1996-07-19,0.5882200000000006,,,,,,,,,
1996-07-26,0.5713799999999996,,,,,,,,,
1996-08-02,0.5958099999999993,,,,,,,,,
1996-08-09,0.5776500000000002,,,,,,,,,
1996-08-16,0.6227200000000002,,,,,,,,,
1996-08-23,0.6325199999999995,,,,,,,,,
1996-08-30,0.6164100000000001,,,,,,,,,
1996-09-06,0.6066200000000004,,,,,,,,,
1996-09-13,0.6170999999999998,,,,,,,,,
1996-09-20,0.5941900000000002,,,,,,,,,
1996-09-27,0.6109,,,,,,,,,
1996-10-04,0.6337600000000005,,,,,,,,,
1996-10-11,0.6373499999999996,,,,,,,,,
1996-10-18,0.6350299999999995,,,,,,,,,
1996-10-25,0.6385899999999998,,,,,,,,,
1996-11-01,0.5974899999999996,,,,,,,,,
1996-11-08,0.5130600000000003,,,,,,,,,
1996-11-15,0.5180899999999999,,,,,,,,,
1996-11-22,0.4622800000000007,,,,,,,,,
1996-11-29,0.46408000000000005,,,,,,,,,
1996-12-06,0.53667,,,,,,,,,
1996-12-13,0.5697400000000004,,,,,,,,,
1996-12-20,0.5114999999999998,,,,,,,,,
1996-12-27,0.4953499999999993,,,,,,,,,
1997-01-03,0.5673900000000005,,,,,,,,,
1997-01-10,0.5669899999999997,,,,,,,,,
1997-01-17,0.5765700000000002,,,,,,,,,
1997-01-24,0.5578500000000002,,,,,,,,,
1997-01-31,0.5768700000000004,,,,,,,,,
1997-02-07,0.55734,,,,,,,,,
1997-02-14,0.50122,,,,,,,,,
1997-02-21,0.5295500000000004,,,,,,,,,
1997-02-28,0.46389000000000014,,,,,,,,,
1997-03-07,0.4738800000000003,,,,,,,,,
1997-03-14,0.5389100000000004,,,,,,,,,
1997-03-21,0.4812000000000003,,,,,,,,,
1997-03-28,0.4560000000000004,,,,,,,,,
1997-04-04,0.48262999999999945,,,,,,,,,
1997-04-11,0.46513000000000027,,,,,,,,,
1997-04-18,0.44906999999999986,,,,,,,,,
1997-04-25,0.41098000000000035,,,,,,,,,
1997-05-02,0.4207299999999998,,,,,,,,,
1997-05-09,0.43778000000000006,,,,,,,,,
1997-05-16,0.4492900000000004,,,,,,,,,
1997-05-23,0.5206499999999998,,,,,,,,,
1997-05-30,0.4553099999999999,,,,,,,,,
1997-06-06,0.39810000000000034,,,,,,,,,
1997-06-13,0.41147000000000045,,,,,,,,,
1997-06-20,0.3778100000000002,,,,,,,,,
1997-06-27,0.42733000000000043,,,,,,,,,
1997-07-04,0.37424000000000035,,,,,,,,,
1997-07-11,0.3401399999999999,,,,,,,,,
1997-07-18,0.35264000000000006,,,,,,,,,
1997-07-25,0.3019400000000001,,,,,,,,,
1997-08-01,0.30923000000000034,,,,,,,,,
1997-08-08,0.3752300000000002,,,,,,,,,
1997-08-15,0.40953000000000017,,,,,,,,,
1997-08-22,0.4420199999999994,,,,,,,,,
1997-08-29,0.3797499999999996,,,,,,,,,
1997-09-05,0.39668999999999954,,,,,,,,,
1997-09-12,0.3682699999999999,,,,,,,,,
1997-09-19,0.2883299999999993,,,,,,,,,
1997-09-26,0.29959999999999987,,,,,,,,,
1997-10-03,0.30215999999999976,,,,,,,,,
1997-10-10,0.31015999999999977,,,,,,,,,
1997-10-17,0.2705200000000003,,,,,,,,,
1997-10-24,0.23502000000000045,,,,,,,,,
1997-10-31,0.22016999999999953,,,,,,,,,
1997-11-07,0.19930000000000003,,,,,,,,,
1997-11-14,0.18516000000000066,,,,,,,,,
1997-11-21,0.15114999999999945,,,,,,,,,
1997-11-28,0.10093999999999959,,,,,,,,,
