,IDR,PHP,THB,SGD,BRL,MXN,CNH,CLP,PLN,HUF
2022-04-08,7210.8349609375,7018.02001953125,1686.0,3383.280029296875,118322.0,54687.25,3251.85009765625,28.399999618530273,18.31999969482422,10865.0
2022-04-11,7203.7939453125,6988.2900390625,1678.4599609375,3363.56005859375,116953.0,54463.828125,3167.1298828125,27.649999618530273,18.5,10680.0
2022-04-12,7214.78076171875,6895.35986328125,1674.3399658203125,3330.25,116147.0,53907.25,3213.330078125,28.0,18.270000457763672,10560.0
2022-04-13,7262.77685546875,6984.89990234375,,3342.219970703125,116782.0,54172.62109375,3186.820068359375,28.3700008392334,18.6299991607666,10820.0
2022-04-14,7235.5322265625,,,3335.85009765625,116182.0,,3225.639892578125,27.84000015258789,18.40999984741211,10700.0
2022-04-15,,,,,,,3211.2451171875,,,
2022-04-18,7275.2890625,6996.10986328125,1668.06005859375,3303.070068359375,115687.0,54139.69140625,3195.52001953125,27.739999771118164,18.309999465942383,
2022-04-19,7199.23193359375,7037.740234375,1675.6199951171875,3307.1298828125,115057.0,54633.76171875,3194.030029296875,27.850000381469727,18.260000228881836,10475.0
2022-04-20,7227.36181640625,7142.419921875,1680.3499755859375,3335.320068359375,114344.0,53831.0390625,3151.050048828125,28.329999923706055,18.110000610351562,10440.0
2022-04-21,7276.19287109375,7061.490234375,1690.550048828125,3348.4599609375,,53267.30859375,3079.81005859375,27.149999618530273,17.729999542236328,10690.0
2022-04-22,7225.60595703125,6998.58984375,1690.5899658203125,3361.110107421875,111078.0,53191.78125,3086.919921875,26.829999923706055,17.34000015258789,10890.0
2022-04-25,7215.97900390625,7020.830078125,1675.3299560546875,3339.590087890625,110685.0,52640.828125,2928.510009765625,25.829999923706055,17.06999969482422,10590.0
2022-04-26,7232.15283203125,6980.02001953125,1668.969970703125,3322.050048828125,108213.0,52512.7109375,2886.429931640625,25.43000030517578,16.170000076293945,10435.0
2022-04-27,7196.76416015625,6863.91015625,1661.8900146484375,3320.669921875,109349.0,52351.2109375,2958.280029296875,25.65999984741211,16.010000228881836,10610.0
2022-04-28,7228.9140625,6909.4501953125,1667.739990234375,3335.090087890625,109919.0,52614.171875,2975.47998046875,25.469999313354492,16.270000457763672,11030.0
2022-04-29,,6731.25,1667.43994140625,3356.89990234375,107876.0,51417.96875,3047.06005859375,25.389999389648438,15.779999732971191,10800.0
2022-05-02,,6721.080078125,,,106639.0,51887.46875,,25.09000015258789,15.739999771118164,10700.0
2022-05-03,,,1652.2900390625,,106528.0,51066.55859375,,25.579999923706055,15.75,11000.0
2022-05-04,,6802.72998046875,,3349.27001953125,108344.0,51432.62890625,,26.700000762939453,16.170000076293945,10700.0
2022-05-05,,6868.919921875,1643.300048828125,3343.570068359375,105304.0,50529.94921875,3067.760009765625,26.059999465942383,15.130000114440918,10500.0
2022-05-06,,6759.89990234375,1629.5799560546875,3291.889892578125,105135.0,49541.80859375,3001.56005859375,25.920000076293945,15.109999656677246,10250.0
2022-05-09,6909.7509765625,,1604.489990234375,3275.070068359375,103250.0,49057.4609375,3004.139892578125,24.899999618530273,14.930000305175781,10325.0
2022-05-10,6819.7939453125,6720.93017578125,1622.780029296875,3234.18994140625,103110.0,49115.859375,3035.840087890625,24.920000076293945,14.869999885559082,10000.0
2022-05-11,6816.203125,6635.85986328125,1613.3399658203125,3226.070068359375,104397.0,49276.23046875,3058.699951171875,25.06999969482422,14.59000015258789,10185.0
2022-05-12,6599.83984375,6532.2998046875,1584.52001953125,3165.179931640625,105688.0,49309.3203125,3054.989990234375,25.18000030517578,14.270000457763672,9820.0
2022-05-13,6597.9931640625,6379.169921875,1584.3800048828125,3191.159912109375,106924.0,49579.8984375,3084.280029296875,26.219999313354492,15.039999961853027,10300.0
2022-05-16,,6502.1201171875,,,108233.0,50563.98046875,3073.75,26.209999084472656,15.1899995803833,10505.0
2022-05-17,6644.466796875,6594.66015625,1614.489990234375,3201.889892578125,108789.0,51464.03125,3093.699951171875,27.59000015258789,15.720000267028809,10580.0
2022-05-18,6793.4140625,6727.60009765625,1620.3299560546875,3225.35009765625,106247.0,50394.03125,3085.97998046875,27.1200008392334,15.270000457763672,10775.0
2022-05-19,6823.3349609375,6660.0498046875,1605.97998046875,3190.7099609375,107005.0,51289.91015625,3096.9599609375,27.940000534057617,15.579999923706055,10290.0
2022-05-20,6918.14404296875,6746.330078125,1622.949951171875,3240.580078125,108488.0,51518.30078125,3146.570068359375,28.059999465942383,15.579999923706055,9904.0
2022-05-23,6840.77490234375,6687.85009765625,1635.280029296875,3213.64990234375,110346.0,51376.890625,3146.860107421875,28.940000534057617,16.290000915527344,10465.0
2022-05-24,6914.14111328125,6577.4501953125,1626.22998046875,3195.0400390625,110581.0,51304.0390625,3070.929931640625,29.0,16.389999389648438,10295.0
2022-05-25,6883.50390625,6597.759765625,1625.1800537109375,3179.580078125,110580.0,51717.0703125,3107.4599609375,29.040000915527344,16.15999984741211,9812.0
2022-05-26,,6645.52001953125,1633.72998046875,3209.179931640625,111890.0,52143.0,3123.110107421875,29.940000534057617,16.40999984741211,9010.0
2022-05-27,7026.255859375,6726.14013671875,1638.75,3230.550048828125,111942.0,52463.55078125,3130.239990234375,30.700000762939453,16.440000534057617,8530.0
2022-05-30,7037.56494140625,6822.31982421875,1653.6099853515625,3238.919921875,111032.0,52162.078125,3149.06005859375,,,8800.0
2022-05-31,7148.97021484375,6774.68017578125,1663.4100341796875,3232.489990234375,111351.0,51752.53125,3186.429931640625,30.3799991607666,16.510000228881836,8818.0
2022-06-01,,6712.2099609375,1660.010009765625,3244.0,111360.0,51506.1484375,3182.159912109375,29.81999969482422,16.209999084472656,9156.0
2022-06-02,7148.72314453125,6686.830078125,1647.6700439453125,3226.719970703125,112393.0,50971.37890625,3195.4599609375,30.81999969482422,16.739999771118164,9194.0
2022-06-03,7182.9609375,6741.39990234375,,3231.969970703125,111102.0,50689.05078125,,30.75,16.239999771118164,9314.0
2022-06-06,7096.58203125,6716.8798828125,1646.0799560546875,3226.6298828125,110186.0,50060.53125,3236.3701171875,30.350000381469727,16.350000381469727,
2022-06-07,7141.044921875,6754.009765625,1631.9200439453125,3231.5400390625,110070.0,50139.19921875,3241.760009765625,30.190000534057617,16.459999084472656,9050.0
2022-06-08,7193.31396484375,6769.6201171875,1636.8900146484375,3225.800048828125,108368.0,49819.30078125,3263.7900390625,30.049999237060547,16.079999923706055,9002.0
2022-06-09,7182.830078125,6758.58984375,1641.3399658203125,3209.6201171875,107094.0,49290.21875,3238.949951171875,28.280000686645508,15.4399995803833,8900.0
2022-06-10,7086.64794921875,6530.0400390625,1632.6199951171875,3181.72998046875,105481.0,48471.51953125,3284.830078125,27.700000762939453,15.0600004196167,8762.0
2022-06-13,6995.44189453125,6467.009765625,1600.06005859375,3139.35009765625,102598.0,48445.30078125,3255.550048828125,26.579999923706055,14.40999984741211,8450.0
2022-06-14,7049.8818359375,6474.52978515625,1603.030029296875,3108.889892578125,102063.0,48164.46875,3288.909912109375,26.479999542236328,14.479999542236328,8450.0
2022-06-15,7007.0498046875,6319.419921875,1593.5400390625,3105.85009765625,102807.0,48344.96875,3305.409912109375,26.889999389648438,14.65999984741211,8510.0
2022-06-16,7050.326171875,6393.009765625,1561.0999755859375,3097.429931640625,,47558.51171875,3285.3798828125,25.950000762939453,14.079999923706055,8502.0
2022-06-17,6936.966796875,6331.56005859375,1559.3900146484375,3098.090087890625,99825.0,48016.23046875,3316.7900390625,25.780000686645508,14.520000457763672,8458.0
2022-06-20,6976.376953125,6333.93994140625,1559.2099609375,3096.39990234375,99853.0,47780.71875,3315.429931640625,,,8584.0
2022-06-21,7044.07080078125,6285.18994140625,1574.52001953125,3117.47998046875,99685.0,48104.37890625,3306.719970703125,26.18000030517578,14.890000343322754,8760.0
2022-06-22,6984.31103515625,6168.0,1560.02001953125,3093.31005859375,99522.0,47144.359375,3267.199951171875,25.399999618530273,14.489999771118164,8530.0
2022-06-23,6998.26708984375,6065.22998046875,1557.6099853515625,3092.800048828125,98080.0,46657.87890625,3320.14990234375,24.479999542236328,14.180000305175781,8354.0
2022-06-24,7042.93701171875,6217.56005859375,1568.760009765625,3111.64990234375,98672.0,47741.5,3349.75,24.540000915527344,14.569999694824219,8400.0
2022-06-27,7016.05517578125,6238.81982421875,1580.199951171875,3137.5400390625,100764.0,48294.828125,3379.18994140625,24.860000610351562,14.760000228881836,8418.0
2022-06-28,6996.4560546875,6345.41015625,1594.469970703125,3140.2099609375,100591.0,48435.44921875,3409.2099609375,24.489999771118164,14.699999809265137,8750.0
2022-06-29,6942.35107421875,6303.18994140625,1586.1800537109375,3134.8701171875,99622.0,48061.609375,3361.52001953125,24.229999542236328,14.739999771118164,8488.0
2022-06-30,6911.58203125,6155.43017578125,1568.3299560546875,3102.2099609375,98542.0,47524.44921875,3398.6201171875,24.06999969482422,14.630000114440918,8422.0
2022-07-01,6794.328125,6165.35009765625,1572.6700439453125,3095.590087890625,98954.0,47743.1484375,3387.639892578125,24.0,14.5600004196167,8390.0
2022-07-04,6639.171875,6183.6201171875,1560.27001953125,3120.239990234375,98609.0,48036.37890625,3405.429931640625,,,8534.0
2022-07-05,6703.26611328125,6309.990234375,1541.300048828125,3104.110107421875,98295.0,47503.21875,3404.030029296875,23.520000457763672,13.699999809265137,8152.0
2022-07-06,6646.41015625,6445.009765625,1541.7900390625,3103.659912109375,98719.0,47722.2890625,3355.35009765625,23.25,13.59000015258789,8158.0
2022-07-07,6652.5869140625,6352.31982421875,1562.3699951171875,3129.39990234375,100730.0,47374.37890625,3364.39990234375,24.209999084472656,13.880000114440918,8380.0
2022-07-08,6740.21923828125,6361.81982421875,1557.8699951171875,3131.260009765625,100289.0,47582.109375,3356.080078125,23.65999984741211,14.109999656677246,8470.0
2022-07-11,6722.14501953125,6388.64013671875,1557.4000244140625,,98212.0,47369.890625,3313.580078125,23.170000076293945,13.710000038146973,8158.0
2022-07-12,6718.2939453125,6349.93994140625,1546.800048828125,3145.77001953125,98271.0,47651.51953125,3281.469970703125,22.469999313354492,13.1899995803833,8000.0
2022-07-13,6640.990234375,6255.3701171875,,3128.68994140625,97881.0,47461.3515625,3284.2900390625,22.84000015258789,13.239999771118164,8000.0
2022-07-14,6690.0869140625,6248.1298828125,1536.8199462890625,3090.6298828125,96121.0,46741.30859375,3281.739990234375,22.170000076293945,13.020000457763672,8000.0
2022-07-15,6651.90478515625,6195.259765625,1533.3699951171875,3099.14990234375,96551.0,47075.87109375,3228.06005859375,23.799999237060547,13.15999984741211,8124.0
2022-07-18,6659.2529296875,6268.77978515625,1544.81005859375,3121.760009765625,96916.0,46923.19921875,3278.10009765625,24.389999389648438,13.4399995803833,8054.0
2022-07-19,6736.091796875,6286.240234375,1533.4300537109375,3117.7900390625,98245.0,47259.23046875,3279.429931640625,25.030000686645508,13.930000305175781,7990.0
2022-07-20,6874.7431640625,6274.7998046875,1539.3199462890625,3170.2900390625,98287.0,47132.48828125,3304.719970703125,25.049999237060547,13.869999885559082,8002.0
2022-07-21,6864.130859375,6256.169921875,1546.31005859375,3152.300048828125,99033.0,47416.37109375,3272.0,25.290000915527344,13.859999656677246,8040.0
2022-07-22,6886.9619140625,6263.39013671875,1552.72998046875,3181.340087890625,98925.0,47264.859375,3269.969970703125,24.700000762939453,13.970000267028809,8142.0
2022-07-25,6858.4072265625,6209.52978515625,1560.31005859375,3180.469970703125,100270.0,47202.640625,3250.389892578125,25.280000686645508,14.039999961853027,8158.0
2022-07-26,6871.537109375,6223.0,1553.1800537109375,3192.1201171875,99772.0,46674.30078125,3277.43994140625,25.43000030517578,13.569999694824219,7854.0
2022-07-27,6898.2158203125,6236.759765625,1576.4100341796875,3205.139892578125,101438.0,46842.921875,3275.760009765625,26.0,13.760000228881836,7902.0
2022-07-28,6956.81689453125,6379.259765625,,3220.64990234375,102597.0,48112.26953125,3282.580078125,26.18000030517578,13.920000076293945,7906.0
2022-07-29,6951.123046875,6315.93017578125,,3211.56005859375,103165.0,48144.328125,3253.239990234375,26.440000534057617,14.40999984741211,8120.0
2022-08-01,6968.783203125,6312.02978515625,1593.239990234375,3238.75,102225.0,47384.55859375,3259.9599609375,26.440000534057617,14.539999961853027,8380.0
2022-08-02,6988.1572265625,6362.2998046875,1589.1600341796875,3239.14990234375,103362.0,46902.69140625,3186.27001953125,26.06999969482422,14.100000381469727,8346.0
2022-08-03,7046.634765625,6430.080078125,1594.72998046875,3252.06005859375,103775.0,46989.609375,3163.669921875,25.780000686645508,14.289999961853027,8510.0
2022-08-04,7057.34814453125,6483.10986328125,1598.75,3269.860107421875,105892.0,46916.171875,3189.0400390625,25.889999389648438,14.170000076293945,8636.0
2022-08-05,7084.65478515625,6405.5,1601.0899658203125,3282.8798828125,106472.0,46723.4296875,3227.030029296875,25.709999084472656,13.960000038146973,8930.0
2022-08-08,7086.84912109375,6434.240234375,1608.8699951171875,3270.97998046875,108402.0,47354.859375,3236.929931640625,26.420000076293945,14.229999542236328,9290.0
2022-08-09,7102.8798828125,6468.97021484375,1618.800048828125,,108651.0,47241.80859375,3247.429931640625,26.440000534057617,14.140000343322754,8918.0
2022-08-10,7086.23583984375,6471.83984375,1617.2099609375,3286.330078125,110236.0,47808.2109375,3230.02001953125,27.059999465942383,14.5600004196167,9370.0
2022-08-11,7160.384765625,6680.68017578125,1622.260009765625,3301.9599609375,109718.0,48460.55078125,3281.669921875,27.350000381469727,14.640000343322754,9520.0
