date,carry_vol,ca_yoy,esi_chg,rr_sent,vrp_pos,vrp_neg,rrterm_pos,rrterm_neg,mom,pi_pos,pi_flow,boll,value_slow
2016-03-18,0.2533907659912226,0.16256027998873657,0.12500000000000003,0.1770341458442688,0.05075821276609514,0.0,0.0566195303439553,0.0,0.0,0.07110554958366026,0.06549276058900971,0.0,0.038038754893051654
2016-03-25,0.2489964584009745,0.1599896908296811,0.12500000000000003,0.1752752895539104,0.0481655584799933,0.0,0.056524870282306176,0.0,0.0,0.0734944644323852,0.06872699042862332,0.0,0.04382667759212611
2016-04-01,0.24441750324211622,0.16237252094819718,0.12500000000000003,0.17677403379766168,0.04967133357446163,0.0,0.05800278728902787,0.0,0.0,0.069083811283624,0.06599851601837443,0.0,0.04867949384653706
2016-04-08,0.24221713310404488,0.16770640948487955,0.12500000000000003,0.17535356269842547,0.04662802651746717,0.0,0.05403988270905783,0.0,0.0,0.0740520827835704,0.06770820128954776,0.0,0.04729470141300706
2016-04-15,0.24169522873084726,0.17291870521971003,0.125,0.17477962581076673,0.05016731760057021,0.0,0.05423808139350674,0.0,0.0,0.06995141584453785,0.06123738451541243,0.0,0.050012240884648805
2016-04-22,0.23814733982890313,0.17245507703716467,0.125,0.176716819392444,0.04726310666080072,0.0,0.05210076014517188,0.0,0.0,0.07330599232698644,0.06548254750663406,0.0,0.04952835710189514
2016-04-29,0.23527789500132384,0.1750352726534124,0.125,0.17688415108864242,0.048224912518916335,0.0,0.045798259572676935,0.0,0.0,0.07758759817372847,0.06973884030614537,0.0,0.04645307068515422
2016-05-06,0.23913766823911664,0.17010899085056733,0.125,0.17276246090060068,0.04249397688821559,0.0,0.04814702177741712,0.0,0.0,0.08069259348889467,0.07285651258718295,0.0,0.04880077526800504
2016-05-13,0.24074525163381139,0.1652264655857177,0.125,0.1733621552547393,0.04636589806743306,0.0,0.05190268686996163,0.0,0.0,0.07745119325246026,0.0697762630435771,0.0,0.05017008629229962
2016-05-20,0.24185439120769436,0.16161919255874055,0.12500000000000003,0.1730270407078809,0.042018907349333626,0.0,0.05000440105373187,0.0,0.0,0.07899192584223887,0.07124344990511805,0.0,0.05624069137526192
2016-05-27,0.23826740100795699,0.16569554592466684,0.12500000000000003,0.16827405158931516,0.04757156103039564,0.0,0.05149537399833873,0.0,0.0,0.07527386007234967,0.06765915984482988,0.0,0.06076304653214714
2016-06-03,0.23702374086943204,0.16622969441045482,0.12500000000000003,0.16568288148723925,0.046406190083562296,0.0,0.05712372337858768,0.0,0.0,0.07572647411769401,0.06829831286896297,0.0,0.058508982784067146
2016-06-10,0.24424347063811364,0.16506668914683917,0.12499999999999997,0.16760534989168022,0.03988272822329997,0.0,0.054562809921728635,0.0,0.0,0.07951912552375162,0.07202209310828343,0.0,0.05209773354630327
2016-06-17,0.2402022724257845,0.16577631453846325,0.125,0.16599672704948198,0.04059263744594766,0.0,0.04984996290873391,0.0,0.0,0.0832536553956643,0.07576819005837529,0.0,0.05356024017754903
2016-06-24,0.2343682078156039,0.17131935216449262,0.125,0.15915914037906498,0.047682769849525415,0.0,0.04381361155416207,0.0,0.0,0.08428518431185174,0.0767765490143192,0.0,0.05759518491098008
2016-07-01,0.22874834503793168,0.1740777211702345,0.125,0.15813794848246604,0.048902942960938806,0.0,0.04523260056572896,0.0,0.0,0.08656082382947936,0.07943801820642465,0.0,0.05390159974679602
2016-07-08,0.2302151426292861,0.17548600828828353,0.12499999999999997,0.15229264977977722,0.054081877824486084,0.0,0.04879594960626837,0.0,0.0,0.08375876181816902,0.07643156701069148,0.0,0.05393804304303798
