date,BASE (top3/5),+stress gate,"+eligibility (CNH,SGD)",+elig +stress,top4/6 +elig +stress
2017-02-10,-0.0020267611468341483,-0.0021355328640147962,-0.000663408471837039,-0.0006741501649322884,-0.0017927611320716344
2017-02-17,-0.00867229742224837,-0.009016843957207664,-0.0008304137134738883,-0.000836397796786668,-0.0021774845666007714
2017-02-24,0.000548584181279928,0.0005695830928293132,0.0008492823803644957,0.0008543878867308449,0.0022908381008966802
2017-03-03,0.003747158477970577,0.0038923423874603945,0.0024930041460764787,0.0025076218639193586,0.0024732425015524745
2017-03-10,-0.010833448548259397,-0.011247650674078345,-0.0068691719400893825,-0.006908217082358099,-0.005873469986515993
2017-03-17,-0.0026037826040773327,-0.002700508094413282,-0.00048008981893535595,-0.0004828412203960255,-0.001500346180489297
2017-03-24,0.0010080173050256722,0.0010454587480588243,0.0020950549228898967,0.0021070625081846196,0.0007161543435835548
2017-03-31,0.010691499190210025,0.011087984282167479,0.014276071205736528,0.014355851906067365,0.010370144089839882
2017-04-07,-0.00037109257526795713,-0.0003839644127360845,0.0012448715452898652,0.001250605466694085,0.0006000144388730324
2017-04-14,-0.003934805350370475,-0.004071964543791562,-0.006042195883367909,-0.006070758125707808,-0.005074627446100061
2017-04-21,-0.0017004960860285395,-0.0017617437940459814,-0.003601266673049195,-0.003620345756831005,-0.0058007244131298855
2017-04-28,0.0008171375177449302,0.000848326047771906,-0.0013606689276097845,-0.0013677957155781826,-0.0013858445385481668
2017-05-05,-0.003083891123356514,-0.0032168281235120115,-0.0041236761593788935,-0.004150640280294524,-0.001876991438765434
2017-05-12,0.004256241724832643,0.00444094081053111,0.0010557559955768848,0.0010633120665356868,0.0010780835364829185
2017-05-19,0.005236597638737,0.005460575999942828,0.003929717111025621,0.003958475933206966,0.0039048217247031644
2017-05-26,0.0019283998263303168,0.002009269861312127,-0.004468721287521081,-0.004500993543409859,-0.0010925641409203302
2017-06-02,0.007063624466630817,0.007394475415822368,0.008840195463640286,0.008905039088721253,0.01053486094160403
2017-06-09,0.006193405636389557,0.006476255698373883,0.0075063668256700414,0.007559105383921275,0.008362345353734747
2017-06-16,0.00016988066047444312,0.00017760274968940312,-0.0010272221167555158,-0.0010343333233555998,-0.00032535610852370555
2017-06-23,-0.00415545983047807,-0.004338279524390193,0.002239016534767448,0.0022511425892148998,0.0035490292941650473
2017-06-30,0.0035529109249654084,0.0035527731895696646,0.003838637035276107,0.0038392167083872064,0.0034672842728900467
2017-07-07,-0.0001292170502402082,-0.0001292170502402083,-0.001857464345762514,-0.001857464345762511,-0.0020529603405588857
2017-07-14,-0.01559850199496173,-0.015598501994961746,-0.017835194362274192,-0.017835194362274168,-0.016745960549317554
2017-07-21,-0.0011692971642856382,-0.0011692971642856393,-0.002050614643833143,-0.00205061464383314,-0.000997180286199664
2017-07-28,0.006252283810954713,0.006252283810954717,0.004423575746930517,0.004423575746930512,0.0036109294498690744
2017-08-04,-0.000735969382842719,-0.0007359693828427197,0.0009455573813598259,0.0009455573813598244,0.0010584882790099523
2017-08-11,-0.0006238592849163267,-0.0006238592849163274,-0.0006478157119224263,-0.0006478157119224254,-0.00047369759060871675
2017-08-18,0.00122766070147921,0.001227660701479211,-0.0011459772677264064,-0.0011459772677264047,0.00035077623545355695
2017-08-25,0.0013576364735541054,0.0013576364735541067,-0.0002906443807999687,-0.0002906443807999684,-0.00011312481736706388
2017-09-01,-7.912889577282273e-05,-7.912889577282279e-05,0.002771535079286778,0.0027715350792867745,0.003111834804439456
2017-09-08,-0.001975853068101939,-0.0019758530681019413,-0.0021170480889487874,-0.002117048088948785,-0.0008097699019993606
2017-09-15,-0.0024138153933783327,-0.002413815393378335,-0.0003866931853849984,-0.00038669318538499795,-0.00037565314855074136
2017-09-22,0.0028412877069525695,0.0028412877069525716,0.0042319352060908874,0.004231935206090881,-0.0032224644463795175
2017-09-29,-0.006048471676860097,-0.006048471676860103,-0.0029424839482648456,-0.0029424839482648413,-0.003329968769356322
2017-10-06,-0.008697811239180434,-0.008697811239180443,-0.012877779338569822,-0.012877779338569807,-0.01321575307929784
2017-10-13,-0.002749906442237891,-0.0027499064422378933,0.0008427635382627425,0.0008427635382627412,-0.0008552772374331581
2017-10-20,-0.004021697849883912,-0.004021697849883914,0.0008185558694746611,0.0008185558694746598,0.0014396560521593431
2017-10-27,0.005621541751674863,0.005621541751674867,0.004715495933934532,0.004715495933934525,0.005380520098478096
2017-11-03,-0.010489416022745883,-0.010489416022745893,-0.005791495754366534,-0.005791495754366525,-0.00709875630155075
2017-11-10,0.0008115504514360117,0.0008115504514360125,0.001154372568397702,0.0011543725683977003,0.0013318938689436224
2017-11-17,0.004829204449364787,0.004829204449364793,0.004420135312646804,0.004420135312646795,0.005059259460614888
2017-11-24,0.004856656931245577,0.004856656931245583,0.005679135110581791,0.00567913511058178,0.0046333215620066445
2017-12-01,3.470881725582901e-05,3.470881725582904e-05,-0.001235780337460392,-0.0012357803374603896,-0.0020027530591121305
2017-12-08,-0.006299878954397099,-0.006299878954397107,-0.00550325917918304,-0.0055032591791830295,-0.0059295393113223144
2017-12-15,0.0022560089174023376,0.0022560089174023397,0.002108964980637006,0.0021089649806370014,0.0016643238483748627
